% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +8.057169867e+01 -9.194283013e+02 -9.194283013e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
4 0 +8.052027301e+01 -9.194797270e+02 -9.194797270e+02 +0.0000e+00 +1.0000e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00
10 0 +6.080277700e+01 -9.391972230e+02 -9.391972230e+02 -2.3989e-01 -6.2300e-01 +5.3244e-01 +1.9622e+00 +1.8236e-01
115 0 +5.773376534e+01 -9.422662347e+02 -9.422662347e+02 +8.1583e-01 +1.1492e+00 -3.3007e+00 -3.0268e+00 -1.9992e+00
118 0 +5.450287930e+01 -9.454971207e+02 -9.454971207e+02 +8.1583e-01 +1.1492e+00 -2.9706e+00 -3.0268e+00 -1.9992e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +7.299933294e+01 +1.072999333e+03 +1.072999333e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3 0 +7.173062497e+01 +1.071730625e+03 +1.071730625e+03 +1.0000e-01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
8 0 +6.985765985e+01 +1.069857660e+03 +1.069857660e+03 +1.6771e-01 -5.4557e-02 +3.1387e-02 -3.4340e-02 +1.6563e-02
9 0 +6.145979600e+01 +1.061459796e+03 +1.061459796e+03 +4.3850e-01 -2.7282e-01 +1.5696e-01 -1.7172e-01 +8.2825e-02
12 0 +5.606890217e+01 +1.056068902e+03 +1.056068902e+03 +7.4311e-01 -4.4709e-01 +2.9645e-01 -2.7218e-01 +1.6820e-01
13 0 +4.141841363e+01 +1.041418414e+03 +1.041418414e+03 +9.9017e-01 -2.1658e-01 +2.0299e-01 -4.3144e-01 +5.9898e-02
14 0 +3.680971330e+01 +1.036809713e+03 +1.036809713e+03 +1.3037e+00 -1.5176e-01 +5.6377e-02 -3.4216e-01 -1.0757e-01
16 0 +3.598334463e+01 +1.035983345e+03 +1.035983345e+03 +1.4804e+00 +6.4365e-02 -6.3657e-02 -4.7341e-01 +1.6074e-01
17 0 +3.279006543e+01 +1.032790065e+03 +1.032790065e+03 +1.5373e+00 +1.4915e-01 +3.9184e-02 -5.7129e-01 +6.3656e-02
18 0 +2.947640606e+01 +1.029476406e+03 +1.029476406e+03 +1.6840e+00 +6.8026e-02 +1.4187e-01 -6.0612e-01 +7.5050e-02
20 0 +2.868386715e+01 +1.028683867e+03 +1.028683867e+03 +1.7810e+00 +5.8609e-02 +3.6660e-01 -7.5985e-01 +8.4543e-02
24 0 +2.801047245e+01 +1.028010472e+03 +1.028010472e+03 +1.7756e+00 +8.1775e-02 +3.6976e-01 -7.6440e-01 +7.9128e-02
25 0 +2.591579187e+01 +1.025915792e+03 +1.025915792e+03 +1.7543e+00 +1.7415e-01 +3.8372e-01 -7.8093e-01 +5.5841e-02
26 0 +2.487405876e+01 +1.024874059e+03 +1.024874059e+03 +1.6685e+00 +5.3866e-01 +4.5499e-01 -8.2710e-01 -5.6242e-02
28 0 +2.420933511e+01 +1.024209335e+03 +1.024209335e+03 +1.7221e+00 +5.4054e-01 +4.7019e-01 -8.5041e-01 -7.0664e-02
30 0 +2.334149422e+01 +1.023341494e+03 +1.023341494e+03 +1.7182e+00 +5.4970e-01 +5.1077e-01 -8.5586e-01 -3.2446e-02
31 0 +2.219433649e+01 +1.022194336e+03 +1.022194336e+03 +1.6791e+00 +5.0787e-01 +5.4407e-01 -9.2570e-01 -5.9628e-02
33 0 +2.164257322e+01 +1.021642573e+03 +1.021642573e+03 +1.6992e+00 +4.6070e-01 +5.8016e-01 -9.3620e-01 -3.6611e-02
34 0 +2.127829532e+01 +1.021278295e+03 +1.021278295e+03 +1.7056e+00 +4.6937e-01 +5.8495e-01 -9.7845e-01 -1.2609e-02
37 0 +2.081518826e+01 +1.020815188e+03 +1.020815188e+03 +1.7013e+00 +4.5351e-01 +6.6614e-01 -1.0287e+00 +2.9660e-02
40 0 +2.040703775e+01 +1.020407038e+03 +1.020407038e+03 +1.6921e+00 +4.8250e-01 +6.6959e-01 -1.0488e+00 +2.8893e-02
41 0 +1.950986344e+01 +1.019509863e+03 +1.019509863e+03 +1.6603e+00 +5.5525e-01 +7.1351e-01 -1.0874e+00 +1.2345e-02
42 0 +1.807494488e+01 +1.018074945e+03 +1.018074945e+03 +1.5279e+00 +8.0257e-01 +9.6263e-01 -1.1860e+00 -8.5286e-02
43 0 +1.724265057e+01 +1.017242651e+03 +1.017242651e+03 +1.4794e+00 +9.7117e-01 +8.4335e-01 -1.4782e+00 +8.6761e-02
44 0 +1.252717886e+01 +1.012527179e+03 +1.012527179e+03 +1.6848e+00 +1.0546e+00 +1.0733e+00 -1.4685e+00 +3.2732e-01
51 0 +1.201873967e+01 +1.012018740e+03 +1.012018740e+03 +1.7065e+00 +1.0598e+00 +1.0595e+00 -1.5416e+00 +3.5323e-01
52 0 +1.166304216e+01 +1.011663042e+03 +1.011663042e+03 +1.7258e+00 +1.0900e+00 +1.0841e+00 -1.5605e+00 +3.6919e-01
54 0 +1.118691867e+01 +1.011186919e+03 +1.011186919e+03 +1.7628e+00 +1.1127e+00 +1.1152e+00 -1.6169e+00 +3.6867e-01
55 0 +1.091239004e+01 +1.010912390e+03 +1.010912390e+03 +1.7685e+00 +1.1517e+00 +1.1116e+00 -1.6451e+00 +3.8047e-01
56 0 +1.063670361e+01 +1.010636704e+03 +1.010636704e+03 +1.7457e+00 +1.1549e+00 +1.1388e+00 -1.6722e+00 +4.0260e-01
57 0 +1.033663575e+01 +1.010336636e+03 +1.010336636e+03 +1.7420e+00 +1.1857e+00 +1.1731e+00 -1.6910e+00 +3.9947e-01
58 0 +1.005538449e+01 +1.010055384e+03 +1.010055384e+03 +1.7350e+00 +1.2033e+00 +1.1894e+00 -1.7342e+00 +3.9733e-01
59 0 +9.218286171e+00 +1.009218286e+03 +1.009218286e+03 +1.7277e+00 +1.3409e+00 +1.2369e+00 -1.8197e+00 +5.0433e-01
60 0 +8.698783310e+00 +1.008698783e+03 +1.008698783e+03 +1.6983e+00 +1.3447e+00 +1.2177e+00 -2.0165e+00 +5.0648e-01
68 0 +8.470781985e+00 +1.008470782e+03 +1.008470782e+03 +1.7479e+00 +1.3614e+00 +1.3054e+00 -2.0800e+00 +5.5368e-01
71 0 +8.293467853e+00 +1.008293468e+03 +1.008293468e+03 +1.7404e+00 +1.4043e+00 +1.3186e+00 -2.0642e+00 +5.6706e-01
76 0 +8.072754090e+00 +1.008072754e+03 +1.008072754e+03 +1.7127e+00 +1.4551e+00 +1.3246e+00 -2.1055e+00 +6.0094e-01
78 0 +7.801017056e+00 +1.007801017e+03 +1.007801017e+03 +1.6711e+00 +1.4800e+00 +1.3752e+00 -2.2076e+00 +6.0146e-01
79 0 +7.601266219e+00 +1.007601266e+03 +1.007601266e+03 +1.6663e+00 +1.5268e+00 +1.4233e+00 -2.2509e+00 +6.6143e-01
80 0 +7.522506367e+00 +1.007522506e+03 +1.007522506e+03 +1.5869e+00 +1.5805e+00 +1.4464e+00 -2.2623e+00 +6.7387e-01
83 0 +7.284627057e+00 +1.007284627e+03 +1.007284627e+03 +1.6176e+00 +1.6304e+00 +1.5347e+00 -2.2894e+00 +6.3764e-01
84 0 +7.079121902e+00 +1.007079122e+03 +1.007079122e+03 +1.6777e+00 +1.7777e+00 +1.5020e+00 -2.4038e+00 +6.1458e-01
86 0 +6.897076683e+00 +1.006897077e+03 +1.006897077e+03 +1.6848e+00 +1.7736e+00 +1.5122e+00 -2.4151e+00 +6.4829e-01
87 0 +6.455161968e+00 +1.006455162e+03 +1.006455162e+03 +1.6817e+00 +1.7464e+00 +1.5546e+00 -2.4951e+00 +6.8071e-01
93 0 +6.214612969e+00 +1.006214613e+03 +1.006214613e+03 +1.7000e+00 +1.7677e+00 +1.6125e+00 -2.5513e+00 +6.7152e-01
94 0 +5.956506839e+00 +1.005956507e+03 +1.005956507e+03 +1.7382e+00 +1.8572e+00 +1.6231e+00 -2.5697e+00 +6.6323e-01
98 0 +5.866762830e+00 +1.005866763e+03 +1.005866763e+03 +1.7486e+00 +1.8557e+00 +1.6100e+00 -2.6162e+00 +6.8272e-01
100 0 +5.722689634e+00 +1.005722690e+03 +1.005722690e+03 +1.7370e+00 +1.8465e+00 +1.6439e+00 -2.6441e+00 +6.8126e-01
